CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,EstimatedSalaryINR
15634602,Hargrave,619,FRA,Female,42,2,"€ 101,348.88",9121399.2
15647311,Hill,608,Spain,Female,41,1,"€ 112,542.58",10128832.2
15619304,Onio,502,French,Female,42,8,"€ 113,931.57",10253841.3
15701354,Boni,699,FRA,Female,39,1,"€ 93,826.63",8444396.7
15737888,Mitchell,850,Spain,Female,43,2,"€ 79,084.10",7117569
15574012,Chu,645,Spain,Male,44,8,"€ 149,756.71",13478103.9
15592531,Bartlett,822,France,Male,50,7,"€ 10,062.80",905652
15656148,Obinna,376,Germany,Female,29,4,"€ 119,346.88",10741219.2
15792365,He,501,French,Male,44,4,"€ 74,940.50",6744645
15592389,H?,684,France,Male,27,2,"€ 71,725.73",6455315.7
15767821,Bearce,528,French,Male,31,6,"€ 80,181.12",7216300.8
15737173,Andrews,497,Spain,Male,24,3,"€ 76,390.01",6875100.9
15632264,Kay,476,FRA,Female,34,10,"€ 26,260.98",2363488.2
15691483,Chin,549,France,Female,25,5,"€ 190,857.79",17177201.1
15600882,Scott,635,Spain,Female,35,7,"€ 65,951.65",5935648.5
15643966,Goforth,616,Germany,Male,45,3,"€ 64,327.26",5789453.4
15737452,Romeo,653,Germany,Male,58,1,"€ 5,097.67",458790.3
15788218,Henderson,549,Spain,Female,24,9,"€ 14,406.41",1296576.9
15661507,Muldrow,587,Spain,Male,45,6,"€ 158,684.81",14281632.9
15568982,Hao,726,French,Female,24,6,"€ 54,724.03",4925162.7
15577657,McDonald,732,French,Male,41,8,"€ 170,886.17",15379755.3
15597945,Dellucci,636,Spain,Female,32,8,"€ 138,555.46",12469991.4
15699309,Gerasimov,510,Spain,Female,38,4,"€ 118,913.53",10702217.7
15725737,Mosman,669,France,Male,46,3,"€ 8,487.75",763897.5
15625047,Yen,846,FRA,Female,38,5,"€ 187,616.16",16885454.4
15738191,Maclean,577,France,Male,25,3,"€ 124,508.29",11205746.1
15736816,Young,756,Germany,Male,36,2,"€ 170,041.95",15303775.5
15700772,Nebechi,571,FRA,Male,44,9,"€ 38,433.35",3459001.5
15728693,,574,Germany,Female,,3,"-€ 999,999",-89999910
15656300,Lucciano,411,French,Male,29,0,"€ 53,483.21",4813488.9
15589475,Azikiwe,591,Spain,Female,39,3,"€ 140,469.38",12642244.2
15706552,Odinakachukwu,533,France,Male,36,7,"€ 156,731.91",14105871.9
15750181,Sanderson,553,Germany,Male,41,9,"€ 81,898.81",7370892.9
15659428,Maggard,520,Spain,Female,42,6,"€ 34,410.55",3096949.5
15732963,Clements,722,Spain,Female,29,9,"€ 142,033.07",12782976.3
15794171,Lombardo,475,France,Female,45,0,"€ 27,822.99",2504069.1
15788448,Watson,490,Spain,Male,31,3,"€ 114,066.77",10266009.3
15729599,Lorenzo,804,Spain,Male,33,7,"€ 98,453.45",8860810.5
15717426,Armstrong,850,French,Male,36,7,"€ 40,812.90",3673161
15585768,Cameron,582,Germany,Male,41,6,"€ 178,074.04",16026663.6
15619360,Hsiao,472,Spain,Male,40,4,"€ 70,154.22",6313879.8
15738148,Clarke,465,FRA,Female,51,8,"€ 181,297.65",16316788.5
15687946,Osborne,556,FRA,Female,61,2,"€ 94,153.83",8473844.7
15755196,Lavine,834,FRA,Female,49,2,"€ 194,365.76",17492918.4
15684171,Bianchi,660,Spain,Female,61,5,"€ 158,338.39",14250455.1
15754849,Tyler,776,Germany,Female,32,4,"€ 126,517.46",11386571.4
15602280,Martin,829,Germany,Female,27,9,"€ 119,708.21",10773738.9
15771573,Okagbue,637,Germany,Female,39,9,"€ 117,622.80",10586052
15766205,Yin,550,Germany,Male,38,2,"€ 90,878.13",8179031.7
15771873,Buccho,776,Germany,Female,37,2,"€ 194,099.12",17468920.8
15616550,Chidiebele,698,Germany,Male,44,10,"€ 198,059.16",17825324.4
15768193,Trevisani,585,Germany,Male,36,5,"€ 86,424.57",7778211.3
15683553,O'Brien,788,FRA,Female,33,5,"€ 116,978.19",10528037.1
15702298,Parkhill,655,Germany,Male,41,8,"€ 164,040.94",14763684.6
15569590,Yoo,601,Germany,Male,42,1,"€ 40,014.76",3601328.4
15760861,Phillipps,619,French,Male,43,1,"€ 113,410.49",10206944.1
15630053,Tsao,656,France,Male,45,5,"€ 87,107.57",7839681.3
15647091,Endrizzi,725,Germany,Male,19,0,"€ 45,613.75",4105237.5
15623944,T'ien,511,Spain,Female,66,4,"€ 1,643.11",147879.9
15804771,Velazquez,614,FRA,Male,51,4,"€ 46,775.28",4209775.2
15651280,Hunter,742,Germany,Male,35,5,"€ 84,509.57",7605861.3
15773469,Clark,687,Germany,Female,27,9,"€ 126,494.82",11384533.8
15702014,Jeffrey,555,Spain,Male,33,1,"€ 178,798.13",16091831.7
15751208,Pirozzi,684,Spain,Male,56,8,"€ 99,398.36",8945852.4
15592461,Jackson,603,Germany,Male,26,4,"€ 92,840.67",8355660.3
15789484,Hammond,751,Germany,Female,36,6,"€ 27,758.36",2498252.4
15696061,Brownless,581,Germany,Female,34,1,"€ 110,431.51",9938835.9
15641582,Chibugo,735,Germany,Male,43,10,"€ 196,673.28",17700595.2
15638424,Glauert,661,Germany,Female,35,5,"€ 113,656.85",10229116.5
15755648,Pisano,675,FRA,Female,21,8,"€ 18,203.00",1638270
15703793,Konovalova,738,Germany,Male,58,2,"€ 28,373.86",2553647.4
15620344,McKee,813,France,Male,29,6,"€ 33,953.87",3055848.3
15812518,Palermo,657,Spain,Female,37,0,"€ 44,203.55",3978319.5
15779052,Ballard,604,Germany,Female,25,5,"€ 58,426.81",5258412.9
15770811,Wallace,519,FRA,Male,36,9,"€ 145,562.40",13100616
15780961,Cavenagh,735,France,Female,21,1,"€ 22,388.00",2014920
15614049,Hu,664,FRA,Male,55,8,"€ 139,161.64",12524547.6
15662085,Read,678,FRA,Female,32,9,"€ 148,210.64",13338957.6
15575185,Bushell,757,Spain,Male,33,5,"€ 194,239.63",17481566.7
15803136,Postle,416,Germany,Female,41,10,"€ 98,301.61",8847144.9
15706021,Buley,665,France,Female,34,1,"€ 171,413.66",15427229.4
15663706,Leonard,777,France,Female,32,2,"€ 136,458.19",12281237.1
15641732,Mills,543,France,Female,36,3,"€ 26,019.59",2341763.1
15701164,Onyeorulu,506,FRA,Female,34,4,"€ 159,235.29",14331176.1
15738751,Beit,493,France,Female,46,4,"€ 1,907.66",171689.4
15805254,Ndukaku,652,Spain,Female,75,10,"€ 114,675.75",10320817.5
15762418,Gant,750,Spain,Male,22,3,"€ 128,643.35",11577901.5
15625759,Rowley,729,France,Male,30,9,"€ 151,869.35",13668241.5
15622897,Sharpe,646,French,Female,46,4,"€ 93,251.42",8392627.8
